,the_geom,segmentid,Shape_Le_1,boro,street,fromstreet,tostreet,onoffst,facilitycl,allclasses,bikedir,lanecount,ft_facilit,tf_facilit
6837,"MULTILINESTRING ((-73.83282011978375 40.753721252426004, -73.83260086397318 40.75300744415957))",91027,267.063999104,4,COLLEGE POINT BL,AVERY AV,SANFORD AV,ON,III,III,2,2,Sharrows,Sharrows
6838,"MULTILINESTRING ((-73.83282011978375 40.753721252426004, -73.83055325784461 40.75454491186161))",91028,696.056403829,4,MAPLE AV,COLLEGE POINT BL,KISSENA BL,ON,II,II,R,1,Standard,
6843,"MULTILINESTRING ((-73.83310291312591 40.75466142266574, -73.83141627204925 40.75542855789611))",91044,544.493491228,4,SANFORD AV,KISSENA BLVD,COLLEGE PT BLVD,ON,II,II,L,1,,Standard
6854,"MULTILINESTRING ((-73.83126591631051 40.748618046313055, -73.83127265704417 40.74858167837324, -73.83127824238974 40.74854519887844, -73.8312826723012 40.74850862673949, -73.8312859431735 40.74847198356335, -73.83128805139923 40.748435291857504, -73.83128899811199 40.74839857233545, -73.8312887820772 40.748361845706995, -73.83128740205788 40.74832513358257, -73.83128486155353 40.748288457579385, -73.83128115932954 40.748251838407256, -73.83127629888293 40.74821529858393, -73.83127028253584 40.748178857023284, -73.8312631149672 40.748142537145206, -73.83125479849674 40.74810635876404))",91144,187.331279258,4,133 ST,ELDER AV,BOOTH MEMORIAL AV,ON,III,III,R,1,Signed Route,
6855,"MULTILINESTRING ((-73.83060941385413 40.7490258844347, -73.83065946280463 40.74902221911881, -73.83070905781342 40.74901592723336, -73.83075796197765 40.74900703994859, -73.83080593836965 40.74899559834064, -73.83085275949621 40.74898165880871, -73.83089819783939 40.74896528765762, -73.83094203769312 40.74894656291664, -73.83098406805661 40.74892557522923, -73.83102408619307 40.74890242515682, -73.83106190118261 40.748877223183946, -73.83109733155142 40.74885009061514, -73.83113020646057 40.7488211577758, -73.83116036926053 40.748790563116614, -73.83118767393668 40.74875845410901, -73.83121199103637 40.74872498455208, -73.83123320174863 40.74869031456402, -73.8312512061903 40.748654611494715, -73.83126591631051 40.748618046313055))",91145,250.768405217,4,ELDER AV,137 ST,133 ST,ON,III,III,L,1,,Signed Route
6859,"MULTILINESTRING ((-73.82785068203275 40.74846423588244, -73.82805493137764 40.7470341551647))",91152,524.088918049,4,137 ST,PECK AV,BOOTH MEMORIAL AV,ON,III,III,L,1,,Signed Route
6876,"MULTILINESTRING ((-73.82673694321538 40.749677233937234, -73.82584441018807 40.74934839122241))",91282,274.791738583,4,PECK AV,MAIN ST,137 ST,ON,III,III,L,1,,Signed Route
6899,"MULTILINESTRING ((-73.82333986760536 40.746651977019496, -73.82340691057232 40.745838182436074))",91367,297.072824566,4,142 ST,56 AV,BOOTH MEMORIAL AV,ON,III,III,R,1,Signed Route,
6900,"MULTILINESTRING ((-73.82333986760536 40.746651977019496, -73.82095944462482 40.745837879862485))",91368,723.207173992,4,56 RD,150 ST,142 ST,ON,III,III,L,1,,Signed Route
6903,"MULTILINESTRING ((-73.82280332284402 40.753879473798435, -73.82166667261326 40.75462070214256))",91384,414.849696827,4,CHERRY AV,KISSENA BL,BOWNE ST,ON,II,II,R,1,Standard,
6929,"MULTILINESTRING ((-73.81445147569677 40.74573163029877, -73.81488268471418 40.74462070933523))",91590,422.012294855,4,153 ST,56 AV,PECK AV,ON,III,III,L,1,,Signed Route
6940,"MULTILINESTRING ((-73.80727076182143 40.75011897510559, -73.80633253838275 40.750047666076604))",91862,261.250948362,4,OAK AV,160 ST,161 ST,ON,III,III,R,1,Sharrows,
6942,"MULTILINESTRING ((-73.80611130009814 40.75171145078496, -73.80633253838275 40.750047666076604))",91871,609.261923001,4,161 ST,OAK AV,45 AV,ON,II,II,L,1,,Standard
6943,"MULTILINESTRING ((-73.80673714491661 40.753914090106996, -73.80581866920667 40.75383830761213))",91882,255.963356367,4,46 AV,160 ST,PIGEON MEADOW RD,ON,III,III,2,2,Sharrows,Sharrows
6944,"MULTILINESTRING ((-73.80639405588445 40.756545202982466, -73.80673714491661 40.753914090106996))",91883,963.301036529,4,160 ST,43 AV,46 AV,ON,II,II,R,1,Standard,
6956,"MULTILINESTRING ((-73.80338237194206 40.75099689055672, -73.80300701670194 40.75050812068398))",91966,206.219509324,4,PIGEON MEADOW RD,46 AV,164 ST,ON,II,II,2,2,Standard,Standard
6972,"MULTILINESTRING ((-73.80017472269063 40.74675557781051, -73.7992167356256 40.74685628163295))",92057,267.968564295,4,UNDERHILL AV,164 ST,170 ST,ON,III,III,2,2,Signed Route,Signed Route
6994,"MULTILINESTRING ((-73.82433101904813 40.77674307053615, -73.82306456050772 40.7767866623633))",92312,351.119693508,4,WILLETS POINT BL,PARSONS BL,154 ST,ON,II,II,2,2,Standard,Standard
7009,"MULTILINESTRING ((-73.82726350984953 40.81293431414661, -73.82639076786394 40.8132342562315))",93443,265.150768975,2,HARDING AV,PENNYFIELD AV,EMERSON AV,ON,II,II,2,2,Standard,Standard
7040,"MULTILINESTRING ((-73.79780299147448 40.72900734113916, -73.7975120616842 40.7274852092511))",95935,560.391647366,4,172 ST,UNION TPKE,73 AVE,ON,II,II,L,1,,Standard
7043,"MULTILINESTRING ((-73.79663324219918 40.72765560406452, -73.79644680251145 40.7266807413241))",95943,358.912256431,4,173 ST,73 AVE,UNION TPKE,ON,II,II,R,1,Standard,
7068,"MULTILINESTRING ((-73.76515128861698 40.74243734534873, -73.76431495569415 40.74067262684365))",96973,683.436833015,4,210 St,OCEANIA ST,VANDERBILT MOTOR PARKWAY,ON,I,I,2,2,Protected Path,Protected Path
7080,"MULTILINESTRING ((-73.76761508050257 40.74552635529214, -73.76697862943018 40.744222968234126))",98280,506.556058397,4,OCEANIA ST,HORACE HARDING SERVICE RD S,210 ST,ON,I,I,2,2,Protected Path,Protected Path
7089,"MULTILINESTRING ((-73.79357020631781 40.85632758502364, -73.79430448260668 40.85657593419956))",99719,222.364847753,2,CITY ISLAND BR,CITY ISLAND AVE,CITY ISLAND BR,ON,II,II,2,2,Curbside,Curbside
7092,"MULTILINESTRING ((-73.75347299987261 40.742404844109025, -73.75253331856125 40.74261133306395))",100222,271.039311227,4,73 Av,SPRINGFIELD BL,230 ST,ON,I,I,2,2,Protected Path,Protected Path
7095,"MULTILINESTRING ((-73.74396193576047 40.74078912576608, -73.74385264141101 40.74009394935986))",100581,255.079252836,4,CLOVERDALE BLVD,76 AV,VANDERBILT MOTOR PKWY,ON,III,III,2,2,Signed Route,Signed Route
7101,"MULTILINESTRING ((-73.7364807667416 40.73065676514673, -73.73659373752395 40.73035629747143))",100794,113.859394617,4,WINCHESTER BLVD,BRADDOCK AV,UNION TP,ON,II,II,2,2,Standard,Standard
7117,"MULTILINESTRING ((-73.7542283814737 40.758524892392245, -73.75404744887804 40.758512385396074, -73.75386725578797 40.7584856525631, -73.75369069156578 40.758444787423606, -73.75352058469707 40.75839033004712, -73.75335958442147 40.75832324877735, -73.75320997149453 40.75824487228549))",101295,304.649005063,4,HORATIO PKWY,50 AV,CLOVERDALE BLVD,ON,I,I,2,2,Protected Path,Protected Path
7118,"MULTILINESTRING ((-73.75320997149453 40.75824487228549, -73.75277171650055 40.75887302777243))",101299,259.069282263,4,50 AVE,231 ST,HORATIO PKWY,ON,I,I,2,2,Protected Path,Protected Path
7120,"MULTILINESTRING ((-73.75230259377594 40.759455198266714, -73.75115583030534 40.75906976855504))",101306,347.343979504,4,232 ST,E HAMPTON BLVD,50 AV,ON,I,I,L,1,,Protected Path
7121,"MULTILINESTRING ((-73.75588010921773 40.76249844743579, -73.75432416772676 40.76283613611876))",101308,448.242228711,4,NORTHERN BLVD,DOUGLASTON PKWY,223 ST,ON,I,I,2,2,Protected Path,Protected Path
7129,"MULTILINESTRING ((-73.75115583030534 40.75906976855504, -73.75057710730869 40.75801489503337))",101407,416.426036298,4,E HAMPTON BLVD,231 ST,232 ST,ON,II,II,L,1,,Curbside
7140,"MULTILINESTRING ((-73.74677998894532 40.747470606371415, -73.74593060412555 40.74571565866156))",101457,681.324272763,4,230 ST,69 AV,67 AV,ON,II,II,2,2,Standard,Standard
7141,"MULTILINESTRING ((-73.74677998894532 40.747470606371415, -73.74589501692749 40.747713559198104))",101458,260.697590797,4,67 AV,230 ST,233 ST,ON,II,II,2,2,Standard,Standard
7145,"MULTILINESTRING ((-73.74507911605274 40.75027389700953, -73.74409668734583 40.74820664132024))",101470,800.848656234,4,233 ST,67 AV,WEST ALLEY RD,ON,I,I,2,2,Protected Path,Protected Path
7153,"MULTILINESTRING ((-73.7239011088152 40.739560534172846, -73.72337374809538 40.73826139692685))",102545,495.364700375,4,COMMONWEALTH BLVD,UNION TPKE,88 RD,ON,II,II,2,2,Standard,Standard
7155,"MULTILINESTRING ((-73.72337374809538 40.73826139692685, -73.72248548778697 40.73845236566214))",102547,255.799753137,4,82 AVE,COMMONWEALTH BLVD,268 ST,ON,II,II,2,2,Standard,Standard
7186,"MULTILINESTRING ((-73.71263236546322 40.75030686640884, -73.71132912318004 40.749474488379434))",103268,471.546982926,4,263 ST,82 AVE,73 AVE,ON,II,II,2,2,Standard,Standard
7187,"MULTILINESTRING ((-73.71509806899802 40.751811747363725, -73.71526292313796 40.75311212911306))",103269,475.96773253,4,73 AVE,263 ST,267 ST,ON,II,II,2,2,Standard,Standard
7197,"MULTILINESTRING ((-73.92033105000432 40.8146378866263, -73.91920038864562 40.81414390275336))",103962,361.030922456,2,E 146 ST,3 AV,WILLIS AV,ON,III,III,R,1,Sharrows,
7200,"MULTILINESTRING ((-74.01163692288003 40.60183693362491, -74.01161032947695 40.602111387535984))",104728,100.262932688,3,17 AV PED OVPS,SHORE PKWY,SHORE PKWY GREENWAY,OFF,L,L,2,0,,
7206,"MULTILINESTRING ((-73.8444844716026 40.81731007038758, -73.8441103046392 40.817095842700425))",105063,129.684405191,2,LACOMBE AV,HAVEMEYER AV,ZEREGA AV,ON,III,III,R,1,Sharrows,
7246,"MULTILINESTRING ((-73.99192069741395 40.731166297285014, -73.9906402421653 40.73062286958329))",106040,406.373917471,1,WANAMAKER PL,AV OF THE AMERICAS,AV A,ON,II,II,L,1,,Standard
7257,"MULTILINESTRING ((-73.9636904753468 40.79082631488265, -73.96364941807765 40.790874974895466, -73.96362520386886 40.79093315669983, -73.96362252773618 40.79099529939627, -73.96364168968618 40.79105455837642, -73.96367848676105 40.79110515109186))",106211,109.240233328,1,C P W 96 APPR,CENTRALK PARK W,WEST DR,ON,I,I,L,1,,Greenway
7301,"MULTILINESTRING ((-73.90130550967422 40.88894319349115, -73.90127330690524 40.88893131735822, -73.90124015843122 40.888921046874025, -73.90120620539017 40.88891242448146, -73.9011715877438 40.888905485418526, -73.90113645258126 40.88890025952679, -73.90110094581686 40.88889676854233, -73.90106521456222 40.88889502699879, -73.9010294106844 40.88889504313047, -73.90099368250554 40.88889681526362, -73.90095818072892 40.88890033632367, -73.90092305250906 40.8889055920294, -73.90088844619773 40.88891256089685, -73.90085450659934 40.88892121333484, -73.90082137378303 40.88893151254439, -73.90078918901264 40.88894341632472, -73.90075808407343 40.88895687346225, -73.90072819194266 40.888971829142605, -73.90069963611762 40.888988220438854))",107204,178.193842475,2,MANHATTAN COLLEGE PKWY,WALDO WALK,W 242 ST,ON,III,III,2,2,Sharrows,Sharrows
7324,"MULTILINESTRING ((-73.88089527342446 40.866794068599624, -73.88071869215247 40.86688188206369, -73.88052937510179 40.86698971977051, -73.88035030000697 40.86710755151621, -73.88018278986024 40.867234489938305, -73.88002800063032 40.867369535844176))",108192,320.08038338,2,SOUTHERN BL,SOUTHERN BL,SOUTHERN BL,ON,II,II,R,1,Curbside,
7325,"MULTILINESTRING ((-74.14509106354551 40.63226343601699, -74.14518776814867 40.632292327816664, -74.14527761589869 40.63233694408297, -74.14535423161188 40.63239538108629, -74.14541267808686 40.632463881821714, -74.14545049793364 40.6325375947193))",108461,147.291490145,5,BAYONNE BRIDGE,TRANTOR PL,BOROUGH BOUNDARY,OFF,I,I,2,2,Protected Path,Protected Path
7338,"MULTILINESTRING ((-74.0149039835826 40.68818181712864, -74.01505024737918 40.68884899748151))",108618,246.434560096,1,EVANS ROAD,KIMMEL RD,ANDES RD,OFF,I,I,2,2,Greenway,Greenway
7341,"MULTILINESTRING ((-73.87653591376477 40.705540663626685, -73.87652112339501 40.70506095383029))",108665,174.820766872,4,73 PLACE,73 PLACE,COOPER AVE,ON,III,III,L,1,,Sharrows
7366,"MULTILINESTRING ((-73.8710826252726 40.857377039671526, -73.87103268885028 40.85780779698449))",108837,157.548218492,2,PELHAM PKWY GREENWAY,ALLERTON AV,SHORE RD GREENWAY,OFF,I,I,2,2,Greenway,Greenway
7405,"MULTILINESTRING ((-74.06616922251426 40.589747226894225, -74.06611811560151 40.58971786232818, -74.06605507528036 40.5896977088499, -74.06598494833872 40.58969043689172, -74.06591478828605 40.58969747422687, -74.06585163401608 40.58971741200505, -74.06580036052982 40.589746609331534))",109568,112.831072594,5,SAND LA,FR CAPODANNO BLVD,SOUTH BEACH GREENWAY,ON,III,III,R,1,Sharrows,
7407,"MULTILINESTRING ((-73.9735493122906 40.657696945505364, -73.97306778423797 40.658002748312775))",109578,173.961145292,3,P P 16 ST APPR,PROSPECT PARK SW,WEST DR,OFF,I,I,L,1,,Greenway
7416,"MULTILINESTRING ((-73.9696639405561 40.67264236727822, -73.9696930066438 40.67232381407926))",109852,116.337740143,3,P P GAP EXIT,PLAZA ST W,PARK CIR,OFF,I,I,L,1,,Greenway
7425,"MULTILINESTRING ((-73.92586558675914 40.66629604847058, -73.92546270193549 40.665916751872544))",110053,177.731159774,3,BUFFALO AV,E NEW YORK AV,EASTERN PKWY,ON,II,II,2,2,Curbside,Standard
7457,"MULTILINESTRING ((-73.99272625326671 40.71077600492743, -73.99260241876615 40.710800139731454))",110891,35.4395393438,1,CHERRY ST,PIKE SLIP,CATHERINE ST,ON,II,II,L,1,,Standard
7489,"MULTILINESTRING ((-73.93422324951723 40.85942902637466, -73.93422878993843 40.85942266036427, -73.93423376724269 40.859416031989895, -73.93423816123966 40.859409169155334, -73.93424195292238 40.85940210246642, -73.9342451244708 40.85939486162932, -73.93424766280734 40.85938747815375, -73.93424955722575 40.859379984451344, -73.93425079939185 40.85937241293503, -73.93425138453038 40.85936479511925, -73.93425131023658 40.8593571643208, -73.9342505752908 40.859349554757635, -73.93424918322026 40.85934199794891, -73.93424714229555 40.85933452631696, -73.93424445841492 40.85932717228278, -73.93424114459236 40.859319969171914, -73.93423721503208 40.859312945808036, -73.93423268749386 40.85930613371844, -73.93422757974007 40.85929956172885, -73.9342219142773 40.859293258667726, -73.93421571598513 40.85928725246436, -73.93420901211867 40.859281567447425, -73.93420183111826 40.85927622884683, -73.93419420379796 40.8592712600928, -73.93418616334667 40.859266681915486, -73.93417774414023 40.85926251414517, -73.93416898292729 40.85925877571304))",111028,72.2824423868,1,MARGARET CORBIN PLZ,FT WASHINGTON AV,MARGARET CORBIN DR,ON,III,III,R,1,Signed Route,
7493,"MULTILINESTRING ((-73.97907658814196 40.76687608551527, -73.97875378856287 40.76729030318977))",111161,175.413891568,1,C P S 7 AV APPR,WEST DR,CENTRAL PARK S,ON,I,I,L,1,,Greenway
7499,"MULTILINESTRING ((-73.97828220084942 40.773031878549844, -73.97723775008153 40.772631142236904))",111178,324.044844223,1,C P W 67 APPR,CENTRAL PARK W,WEST DR,ON,I,I,2,2,Greenway,Greenway
7521,"MULTILINESTRING ((-73.84203142556473 40.70221689650498, -73.84213027124153 40.70235836678099, -73.84221901473319 40.70250379618581, -73.8422972670126 40.702652550248345))",111359,175.172026443,4,MEMORIAL DR,FOREST PARK DR,MYRTLE AV,OFF,I,I,2,2,Greenway,Greenway
7557,"MULTILINESTRING ((-73.98964943225232 40.72461726460672, -73.988889757993 40.724293470662765))",112608,241.359597408,1,E 2 ST,2 AV,1 AV,ON,II,II,R,1,Standard,
7580,"MULTILINESTRING ((-73.91909637283364 40.852674615312075, -73.91883794737872 40.85277077739192))",113091,79.6155277689,2,SEDGWICK AVE,CEDAR AVE,W TREMONT AVE,ON,III,III,2,2,Sharrows,Sharrows
7616,"MULTILINESTRING ((-73.89943670880054 40.86211691208723, -73.89867421713083 40.86177058275535))",113559,245.774359331,2,E 188 ST,E FORDHAM RD,GRAND CONCOURSE,ON,II,II,R,1,Standard,
7617,"MULTILINESTRING ((-73.8977896229201 40.870856643172736, -73.89830010860803 40.87107083515469))",113564,161.317062093,2,STRONG ST,UNIVERSITY AV,RESERVOIR AV,ON,II,II,L,1,,Standard
7654,"MULTILINESTRING ((-73.94039581615897 40.7705148847401, -73.94037862976899 40.77054898421797, -73.94036245938149 40.770583369678555, -73.9403473133045 40.77061802401707, -73.94033319866324 40.770652928326996, -73.94032012258043 40.77068806640335, -73.94030809099701 40.770723419339, -73.94029711103663 40.77075897002838, -73.94028718864018 40.77079469956426, -73.94027832856345 40.77083058993941, -73.94027053437837 40.77086662224521, -73.94026381083917 40.77090278027537, -73.94025816151942 40.770939043320354, -73.94025358880448 40.770975395172435, -73.94025009508357 40.77101181512141))",114430,186.261374423,1,ROOSEVELT ISLAND GREENWAY,ROOSEVELT ISLAND BR,ROOSEVELT ISLAND BR,OFF,I,I,2,2,Greenway,Greenway
7655,"MULTILINESTRING ((-73.96163666906938 40.79365749804499, -73.96156940766755 40.79362948809334, -73.96151002339239 40.79358510964009, -73.96146830179238 40.79352709448432, -73.96145100453042 40.793462297712836, -73.9614587782642 40.7933992842101, -73.9614864647411 40.793344920362564))",114444,136.771145857,1,C P W 100 APPR,WEST DR,CENTRAL PARK W,ON,I,I,R,1,Greenway,
7656,"MULTILINESTRING ((-73.95380236201862 40.79821248720416, -73.953927783438 40.79822584318386, -73.95405155823278 40.79825060229678, -73.9541710015317 40.79828648072389, -73.95428360533936 40.798332718362644, -73.95438715461572 40.79838813650296))",114451,176.565440171,1,C P LENOX APPR,CENTRAL PARK N,EAST DR,ON,I,I,R,1,Greenway,
7657,"MULTILINESTRING ((-73.95454720852258 40.79255615065165, -73.95466175876578 40.79256983294523, -73.95477397696293 40.79259963046437, -73.95487801990721 40.79264486195107, -73.95496871487966 40.792703266951456, -73.95504229992548 40.79277137260058))",114471,163.234573668,1,C P E 102 APPR,5 AV,EAST DR,ON,I,I,R,1,Greenway,
7659,"MULTILINESTRING ((-73.85174224207529 40.89135306785555, -73.85149873234865 40.89153479624047))",114568,94.4287317131,2,BRONXWOOD AVE,BRONXWOOD AVE,E 233 ST,ON,II,II,R,1,Standard,
7698,"MULTILINESTRING ((-73.97290217117619 40.77879717015088, -73.97290238027503 40.77869088392734, -73.97292305947721 40.77858462862833, -73.97296387561808 40.77848179185417, -73.97302322809638 40.77838556098673))",115259,155.714870955,1,C P W 77 APPR,CENTRAL PARK W,WEST DR,OFF,I,I,2,2,Greenway,Greenway
7702,"MULTILINESTRING ((-73.96911909724587 40.78367748780331, -73.96913345779814 40.783468854450774, -73.96916533970192 40.78326069313951, -73.96921465807972 40.78305430325615, -73.96928111958297 40.782850924691104, -73.9693641986882 40.78265177385314))",115267,381.361141964,1,C P W 85 APPR,CENTRAL PARK W,WEST DR,ON,I,I,R,1,Greenway,
7705,"MULTILINESTRING ((-73.96807394089086 40.772825827411374, -73.96813673051021 40.77282111444955, -73.96819911028582 40.77281390874807, -73.96826090726293 40.772804230070996, -73.96832195322199 40.77279210448768, -73.96838208112462 40.772777566172486, -73.96844112393057 40.77276065380274, -73.96849892288772 40.77274141506341, -73.96855531568859 40.772719902141176, -73.96861015068377 40.772696174429946, -73.9686632762219 40.772670296726936, -73.9687145465724 40.77264233923417, -73.9687638219247 40.77261237935941, -73.96881096483551 40.772580499914326, -73.96885584852129 40.772546787315456))",115271,244.664210313,1,C P E 72 APPR,EAST DR,C P E 72 APPR,ON,I,I,L,1,,Greenway
7712,"MULTILINESTRING ((-73.96744908391189 40.787860720908974, -73.96742315777907 40.7878526991252, -73.96739665883246 40.78784584602373, -73.96736967710245 40.78784018504276, -73.96734230499062 40.78783573601914, -73.96731463608549 40.7878325142876, -73.96728676634729 40.78783053068122, -73.96725879292305 40.787829791530996, -73.96723080940698 40.787830300465366, -73.9672029129505 40.78783205481053, -73.96717520070696 40.78783504829073, -73.96714776627672 40.78783927192771, -73.96712070444815 40.787844710440304, -73.9670941088266 40.787851344944855, -73.9670680706499 40.78785915295528))",115279,108.517311693,1,C P W 90 APPR,CENTRAL PARK W,WEST DR,OFF,I,I,2,2,Greenway,Greenway
7724,"MULTILINESTRING ((-73.95781737305919 40.799710547494996, -73.95783270338767 40.7996598459876, -73.95785927798413 40.7996111026725, -73.95789620674783 40.79956643339033, -73.95794174663212 40.79952758446397))",115318,76.3516414974,1,C P W 110 APPR,FRED DOUGLASS CIR,WEST DR,OFF,I,I,2,2,Greenway,Greenway
7756,"MULTILINESTRING ((-73.95128999478993 40.74365608180994, -73.9513624999883 40.74339999927372))",147812,95.4377524527,4,11 St,JACKSON AV,47 AV,ON,III,III,R,1,,Sharrows
7778,"MULTILINESTRING ((-73.85599459257631 40.85816102477595, -73.85585355956368 40.858171765317024))",116581,39.2087377281,2,PELHAM PKWY N,ESPLANADE,LACONIA AV,ON,III,III,L,1,,Signed Route
7834,"MULTILINESTRING ((-74.00391102147437 40.711174788401614, -74.00427373271157 40.71140262454215))",117899,130.390719232,1,FRANKFORT ST,PARK ROW,GOLD ST,ON,II,II,L,1,,Standard
7836,"MULTILINESTRING ((-73.87321011580819 40.5649297607635, -73.87334162118334 40.56504354324164, -73.87349382239094 40.56514726247051, -73.87366464825631 40.56523780927509, -73.87385095937348 40.565312442525396, -73.87404876017638 40.56536904152905, -73.87425347018424 40.565406295449804, -73.8744602249477 40.56542380270321, -73.87466433546983 40.5654220444462, -73.87486152453492 40.56540231279084))",118022,515.181834949,4,JACOB RIIS BOARDWALK,BEACH 169 ST,ROCKAWAY BEACH BLVD,OFF,I,I,2,2,Boardwalk,Boardwalk
7842,"MULTILINESTRING ((-73.79404571247954 40.862376191488366, -73.79419479744203 40.86257838387596, -73.794326169929 40.86278975562404, -73.79443842260088 40.863008929233594, -73.7945304687649 40.863234386396, -73.79460143675114 40.863464489413445, -73.79465081801831 40.86369753548977, -73.79467839596673 40.863931766506965, -73.79468430504672 40.864165436666404, -73.79466895351887 40.86439686187803))",118037,768.609480092,2,ORCHARD BEACH BOARDWALK,PELHAM BAY PARK,PELHAM BAY PARK,OFF,I,I,2,2,Boardwalk,Boardwalk
7844,"MULTILINESTRING ((-73.94167996493876 40.575505306827466, -73.94050885591443 40.575539934859336))",118040,325.576900603,3,MN BEACH BOARDWALK,OCEAN AV,MACKENZIE ST,OFF,I,I,2,2,Boardwalk,Boardwalk
7854,"MULTILINESTRING ((-73.97760061203932 40.66138665483231, -73.97801733537081 40.66113825573857))",118094,146.823722623,3,P P BARTEL PRITCHARD SQ APPR,PROSPECT PARK W,WEST DR,OFF,I,I,R,1,Greenway,
7855,"MULTILINESTRING ((-73.97000244572936 40.67263115006823, -73.9698290787987 40.6722986795425))",118105,130.326021016,3,P P GAP ENTRANCE,GRAND ARMY PLZ GREENWAY,GRAND ARMY PLZ GREENWAY,OFF,I,I,R,1,Greenway,
7867,"MULTILINESTRING ((-73.96315296007802 40.6556649285675, -73.96315442681575 40.65563186655495, -73.96315284997685 40.65559880806991, -73.96314823657083 40.65556591520742, -73.96314061016209 40.655533348266864, -73.96313000732123 40.65550126845182, -73.96311647999181 40.655469833368684, -73.96310009549086 40.65543919702634, -73.96308093414386 40.65540950893522, -73.96305908928352 40.65538091680878, -73.96303466843605 40.655353559359625, -73.96300779095276 40.65532757260257, -73.96297859037877 40.65530308265132, -73.96294720972088 40.655280210219466, -73.96291380263105 40.655259068819895, -73.96287853340871 40.65523976026237, -73.9628415746326 40.655222380956204, -73.96280310834717 40.65520701470677, -73.96276332369426 40.6551937390183, -73.96272241573477 40.65518261788933, -73.96267589982473 40.65517102755772, -73.96262991430984 40.65515826940904, -73.96258451002882 40.65514435696809, -73.96253973545384 40.65512930646068, -73.9624956402392 40.65511313411309, -73.9624522740393 40.65509585615156, -73.96240968295778 40.655077494204356))",118686,324.048375457,3,P P OCEAN AV APPR,E LAKE DR,OCEAN AV,OFF,I,I,2,2,Greenway,Greenway
7879,"MULTILINESTRING ((-73.86546372687141 40.568999316234226, -73.86522561096884 40.56904129698594, -73.86499141173542 40.569096168373804, -73.86476288698135 40.5691635569719, -73.86454176062874 40.569242921829805))",118828,271.938239618,4,JACOB RIIS PARK DRIVEWAY,JACOB RIIS BOARDWALK,BEACH 125 ST,ON,II,II,L,1,,Curbside
7891,"MULTILINESTRING ((-73.92712222133926 40.85810961097987, -73.92709952179166 40.858275269818094, -73.92705257883624 40.85844158508738, -73.92698091176246 40.858605481278396, -73.92688495081812 40.85876382220924, -73.92676602641478 40.85891354069292, -73.92662633094953 40.85905186004013, -73.9264688284997 40.85917645519774, -73.92629698191219 40.85928556424499, -73.92611458069348 40.8593781026534))",119268,561.850404595,1,FT GEORGE HILL,ST NICHOLAS AVE,DYCKMAN ST,ON,I,I,2,2,Protected Path,Protected Path
7895,"MULTILINESTRING ((-73.90236690978436 40.887253613638926, -73.90248542250752 40.88749542322719))",119349,93.9978304713,2,IRWIN AV,W 240 ST,WALDO WALK,ON,III,III,2,2,Sharrows,Sharrows
7896,"MULTILINESTRING ((-73.90248542250752 40.88749542322719, -73.90277702571782 40.88876495744716))",119350,469.51742668,2,WALDO WALK,IRWIN AV,MANHATTAN COLLEGE PKWY,OFF,I,I,2,2,Greenway,Greenway
7904,"MULTILINESTRING ((-74.07680739079264 40.578693838469064, -74.07706700617527 40.578461530119746, -74.07705126791576 40.57845386100347, -74.07703625391024 40.57844539173372, -74.07702203152304 40.57843616008755, -74.07700867048801 40.5784262101443, -74.07699622991117 40.57841558779137, -74.07698477008373 40.578404342517466, -74.07697434421458 40.578392527418195, -74.07696499960922 40.57838019739415, -74.07695678121287 40.5783674091485, -74.0769497268887 40.57835422299129, -74.07694386859622 40.5783407010375, -74.07693923475186 40.57832690540451, -74.07693584786985 40.57831290091511, -74.07693372219673 40.57829875239761, -74.0769328684381 40.578284526483756, -74.07693328903198 40.57827028981073, -74.07693498405222 40.578256107216276, -74.07693794530951 40.57824204714565, -74.07694215752184 40.578228172645694, -74.07694760304939 40.578214550366894, -74.0769542547998 40.578201243363964, -74.07696208213639 40.57818831379341, -74.07697104851547 40.57817582201457, -74.07698111266487 40.57816382478791, -74.07699222740943 40.57815238067885, -74.0770043408415 40.578141541051764, -74.07701739751039 40.57813135727339, -74.07703133369405 40.57812187711397, -74.07704608684745 40.578113144740804, -74.07706158733407 40.5781051998234, -74.07707776315337 40.57809808023174, -74.07709453875661 40.5780918193357, -74.07711183504672 40.57808644600485, -74.07712957292364 40.57808198640727, -74.0771476673738 40.578078459510884, -74.07716603692477 40.57807588248019, -74.07718459301259 40.57807426798195, -74.07720325179045 40.578073622376, -74.07722192350397 40.57807395022534, -74.07724052311484 40.578075248885526, -74.07725896203735 40.57807751211245, -74.07727715640685 40.57808073095744, -74.0772950199871 40.5780848883686, -74.07731246890194 40.57808996549156, -74.0773294239951 40.57809593986662, -74.07734580373976 40.57810278183166, -74.0773615325134 40.57811046081993, -74.07737653823 40.57811894085926, -74.0773907487985 40.578128181475016, -74.07740409921179 40.57813814038647, -74.0774165268206 40.57814877170952))",119726,375.796283848,5,F D R BOARDWALK,MIDLAND BEACH GREENWAY,OCEAN AV,OFF,I,I,2,2,Greenway,Greenway
